Text,Start Time,Duration
good evening everyone my name is Anna,37.0,4.84
ghee and I run the Ames Moot Court,41.84,1.859
Competition for the board of student,43.699,1.711
advisors,45.41,2.48
welcome to the Ames moot court final,49.6,2.799
round presiding over this year's,52.399,2.611
competition are the Honorable Sonia,55.01,2.009
Sotomayor of the Supreme Court of the,57.019,1.801
United States the Honorable Susan L,58.82,2.759
Carney of the United States Court of,61.579,1.591
Appeals for the Second Circuit and the,63.17,2.37
Honorable Jennifer Walker elrod of the,65.54,1.95
United States Court of Appeals for the,67.49,1.59
Fifth Circuit tonight's case was written,69.08,3.12
by Elizabeth bark Aspray lager and to,72.2,2.339
gender sing this evenings case poses two,74.539,3.961
key questions first whether a statute,78.5,3.21
prohibiting an individual from,81.71000000000001,1.62
possessing a firearm if he's been,83.33,1.74
convicted of a criminal offense,85.07,1.5
punishable by more than two years of,86.57,2.13
imprisonment violates the Second,88.7,1.65
Amendment and second whether a statue,90.35,2.519
prohibiting individuals from publishing,92.869,1.981
CAG files on the internet that can be,94.85,2.879
used to program a 3d printer to print a,97.729,2.25
firearm violates the free speech Clause,99.979,2.491
of the First Amendment representing the,102.47,3.0
petitioner the grace Murray hopper,105.47,1.859
memorial team max Kochel oralist erika,107.32900000000001,4.68
herrera benjamin Lewis Catherine,112.009,3.061
McCaffrey oralist Eliza McDuffie and,115.07,2.88
Jacqueline Saul Berg representing the,117.95,2.76
respondent the Clarence Earl Gideon,120.71,1.589
memorial team Jeff Adler nikka Carr,122.299,3.661
oralist,125.96,0.839
Gabrielle bells L Marlin golden oralist,126.799,3.239
Lilly Kim and Daniel Morales please,130.038,3.541
silence all phone and electronic devices,133.579,2.271
please no photos and please avoid,135.85,2.59
leading the court leaving the courtroom,138.44,1.62
during argument thank you and enjoy the,140.06,2.549
competition,142.609,2.391
[Applause],149.85,3.41
all rise the Honorable the Chief Justice,153.26,4.63
and the associate justices of the,157.89,2.28
Supreme Court of the United States,160.17000000000002,2.72
oyez oyez oyez all persons having,162.89,4.57
business before the Honorable the,167.46,1.86
Supreme Court of the United States are,169.32,2.22
admonished to draw near and give their,171.54,2.4
attention for the court is now sitting,173.94,2.42
God saved the United States and this,176.36,3.01
honorable Court please have a seat,179.37,4.79
petitioners are you ready,188.77,3.45
madam Chief Justice and may it please,202.51,2.02
the court my name is max Kajal and on,204.53,2.61
behalf of petitioner Ian groves I will,207.14,1.86
address the First Amendment issue we,209.0,1.98
would like to reserve three minutes for,210.98,1.56
rebuttal,212.54,0.57
thank you two years ago mr. groves,213.11,3.0
created a digital design for a,216.11,1.65
single-shot plastic firearm following,217.76,2.82
instructions provided by groves that,220.57999999999998,1.74
design can be used to 3d print a set of,222.32,2.28
parts which can then be assembled into,224.6,2.13
the firearm although similar designs,226.73,2.19
have been accessible online for years,228.92000000000002,1.8
Ames is the only state in the nation to,230.72,2.13
have made it a felony to publish such,232.85,1.98
designs on the internet that law,234.82999999999998,2.25
violates the First Amendment for three,237.07999999999998,1.92
reasons first under this Court's,239.0,2.04
precedents in Bar Nicky and Free Speech,241.04,1.77
Coalition the law impermissibly targets,242.81,2.43
groves a speech to prevent third parties,245.24,2.13
criminal conduct second the law is,247.37,2.34
significantly over-inclusive because it,249.71,2.22
prevents grouse from sharing his design,251.93,1.65
with the many citizens of Ames who will,253.58,1.98
not put it to harmful uses third and,255.56,2.399
finally the law is a facially,257.959,1.651
content-based regulation of speech that,259.61,2.34
the state has not justified as actually,261.95,1.98
necessary to solve a current problem,263.93,2.19
counselor why should we our our,266.12,4.55
established precedent isn't this a new,270.67,4.21
form of technology your honor given that,274.88,3.57
it is shouldn't we be thinking about it,278.45,2.64
in a different way,281.09000000000003,1.23
your us is the first bit of technology,282.32,2.79
that I've ever seen that can direct,285.11,2.91
another machine to create an item that,288.02,4.17
could be put to dangerous use,292.19,1.94
Your Honor several points on that first,294.13,2.47
I think with respect this is an old kind,296.6,3.63
of speech it's a blueprint it's a design,300.23,2.27
foreign object the difference is that on,302.5,2.71
the user and a person now has access to,305.21,2.31
technology expensive technology that can,307.52,3.08
following the directions of giving it's,310.6,2.71
giving this technology can be used to,313.31,2.43
give a machine directions on how to,315.74,3.96
manufacture a dangerous item is very,319.7,4.92
different than any blueprint that we've,324.62,2.18
permitted in the past,326.8,1.839
those blueprints require an individual,328.639,4.321
to actually follow them assemble all of,332.96,2.94
the mechanisms necessary to put them,335.9,2.43
into effect it's one thing to build a,338.33,2.22
building you've got to get a lot of,340.55,2.07
things to build that building here all,342.62,2.19
you need is a 3d printer essentially,344.81,2.46
we're hundred I think you need the 3d,347.27,1.5
printer I think you also need the,348.77,1.32
appropriate raw materials you also need,350.09000000000003,2.189
a significant amount of technical,352.279,2.1
know-how to know how to operate it no,354.379,1.801
doubt it's easier than building a,356.18,1.139
building but we still submit there's,357.319,1.62
quite a bit of knowledge and expertise,358.939,2.19
that goes into the downloader side,361.129,1.38
before a person can take this this file,362.509,3.241
and turn it into a working firearm in,365.75,2.46
particular your honor it's our,368.21,1.199
submission as we say in our brief that,369.409,1.62
the kind of file is that our client,371.029,2.491
wants to upload to the internet actually,373.52,2.009
cannot direct a 3d printer to do,375.529,1.95
anything at all they need to be altered,377.479,1.771
on the downloader end as we say in our,379.25,2.43
opening brief sliced before they can,381.68,2.459
actually communicate to a 3d printer and,384.139,1.74
we think that makes that make some,385.879,1.59
difference these really are nothing more,387.469,1.62
than digital versions of blueprints or,389.089,2.67
of other descriptions visual or,391.759,2.13
otherwise of objects and so we think,393.889,2.071
it's better to think of this as the,395.96,1.29
dissemination of those kinds of,397.25,1.919
blueprints and that we think under this,399.169,2.131
Court's precedents in Sorel and in,401.3,1.979
bartnick II the dissemination of that,403.279,1.56
kind of truthful information is,404.839,1.681
protected speech and the fact that it,406.52,2.759
can be used on the downloader end and,409.279,1.89
put to unlawful ends if the person so,411.169,2.52
chooses doesn't change that fact why is,413.689,2.46
it that your clients made a CAD that,416.149,3.77
students require the use of a metal part,419.919,4.571
so detectors could work on it I know,424.49,3.299
that he has a metal a slot in which a,427.789,4.35
metal part can be placed but isn't his,432.139,3.09
intent to actually facilitate the,435.229,2.46
illegal transport of a gun through,437.689,2.94
security Your Honor I don't think that's,440.629,2.581
mr. Gross's intent he did it wasn't his,443.21,2.639
intent why didn't he make a pedal piece,445.849,2.97
a necessary part of the gun Your Honor,448.819,2.94
the record is not clear on that and I'm,451.759,1.59
not sure why he didn't but he did I,453.349,1.651
think do everything an uploader of this,455.0,1.709
kind of information could do to ensure,456.709,2.19
that when it was 3d printed the firearm,458.899,1.95
would be metal detectable,460.849,1.521
because as the record reflects at the,462.37,1.98
joint appendix 18 the design includes a,464.35,2.55
hole where a metal slug can be inputted,466.9,1.92
and indeed but it has no functional use,468.82,1.74
that's right your honor but it's our,470.56,2.1
understanding that it would be difficult,472.65999999999997,1.38
I think to to require that too to make,474.04,3.45
the metal piece be used but it's our,477.49,3.44
required your honor that's one of the,480.93,3.4
less restrictive alternatives that we,484.33,1.559
that we suggest is it wouldn't that be a,485.889,2.101
violation of the First Amendment you'd,487.99,1.709
be up here arguing that we were forcing,489.699,3.421
him to speak in the way he didn't want,493.12,1.98
to speak your honor I don't think that,495.1,1.89
we would be saying that this was a sort,496.99,1.739
of sort of compelled speech situation,498.729,1.711
and you'll write that under the,500.44,1.38
principles your honor is correct and,501.82,1.5
