Text,Start Time,Duration
the following is a conversation with,0.08,4.719
elon musk his third time on this the lex,1.52,5.44
friedman podcast,4.799,4.481
yeah make yourself comfortable oh,6.96,4.4
no wow okay no no,9.28,4.8
you don't do the headphone thing no okay,11.36,4.0
i mean how close do i get need to get,14.08,2.72
this thing the closer you are the sexier,15.36,3.999
you sound hey babe yeah can't get enough,16.8,5.76
of the what y'all that baby,19.359,3.201
i'm gonna clip that out anytime somebody,23.039,5.201
messages me about it,25.76,5.12
and you think i'm sexy come right out,28.24,5.6
and tell me so,30.88,2.96
so good okay,38.8,5.04
serious mode activate all right,40.48,4.72
mode come on you're russian you can be,43.84,2.239
serious,45.2,2.0
everyone's serious all the time in,46.079,2.401
russia yeah,47.2,2.72
yeah,48.48,3.68
we'll get there we'll get there,49.92,5.2
yeah it's gotten soft,52.16,2.96
allow me to say that the spacex launch,55.199,4.801
of human beings to orbit on may 30th,57.6,4.4
2020,60.0,4.0
was seen by many as the first step in a,62.0,5.28
new era of human space exploration,64.0,5.36
these human space flight missions were a,67.28,4.24
beacon of hope to me and to millions,69.36,4.079
over the past two years is our world has,71.52,3.52
been going through one of the most,73.439,3.121
difficult periods in recent human,75.04,2.88
history,76.56,4.239
we saw we see the rise of division fear,77.92,6.64
cynicism and the loss of common humanity,80.799,6.801
right when it is needed most so first,84.56,4.879
elon let me say thank you for giving the,87.6,3.519
world hope and reason to be excited,89.439,3.68
about the future oh it's kind of you to,91.119,2.96
say it,93.119,4.0
i do want to do that humanity has uh,94.079,6.08
obviously a lot of issues and and uh you,97.119,5.36
know people at times do do bad things,100.159,3.121
but,102.479,1.68
you know,103.28,3.36
despite all that um you know i love,104.159,4.881
humanity and i think we should,106.64,4.32
uh,109.04,3.439
make sure we do everything we can to,110.96,3.04
have a good future and an exciting,112.479,3.841
future and one where that maximizes the,114.0,4.159
happiness of the people,116.32,4.56
let me ask about uh crew dragon demo two,118.159,4.64
so that that first flight with humans on,120.88,3.36
board,122.799,2.881
how did you feel leading up to that,124.24,3.84
launch were you scared are you excited,125.68,4.639
what's going through your mind so much,128.08,4.879
was at stake,130.319,2.64
yeah no that was extremely stressful no,133.92,3.2
question,136.239,2.72
we obviously could not,137.12,2.72
um,138.959,4.881
let them down in any way um so,139.84,4.0
extremely stressful i'd say,143.92,3.6
uh to say the least,145.68,2.8
but we did,147.52,2.64
i was confident that at the time that we,148.48,3.52
launched that,150.16,4.64
no one could think of anything,152.0,5.36
at all to do that would improve the,154.8,4.64
probability of success,157.36,5.04
um and we we racked our brains to think,159.44,4.24
of any possible way to improve the,162.4,2.72
probability of success we could not,163.68,3.919
think of anything more and and nor could,165.12,3.72
nasa and,167.599,3.36
so then that that's just the best that,168.84,4.759
we could do so then we we had,170.959,4.64
we went ahead and launched,173.599,4.64
now i'm not a religious person,175.599,5.28
um but i nonetheless got on my knees and,178.239,5.441
prayed for that mission,180.879,4.881
you able to sleep,183.68,3.76
no,185.76,3.28
how did it feel,187.44,3.68
when it was a success first when the,189.04,4.0
launch was a success and when they,191.12,5.6
returned back home or back to earth,193.04,6.8
it was a great relief,196.72,3.12
yeah,200.239,3.601
it's for high stress situations i find,201.599,4.881
it's not so much elation as relief,203.84,4.56
um,206.48,3.2
and um,208.4,2.8
you know i think once,209.68,3.68
as as we we got more comfortable and,211.2,4.16
improved out the systems because you,213.36,4.0
know we really,215.36,3.12
um,217.36,2.159
you know you got to make sure everything,218.48,2.399
works um,219.519,3.041
i was it was definitely a lot more,220.879,3.761
enjoyable with the subsequent uh,222.56,3.84
astronaut uh missions,224.64,4.0
and i thought the,226.4,4.16
the inspiration mission was was actually,228.64,4.0
very inspiring um the inspiration for,230.56,4.48
mission um i'd encourage people to watch,232.64,3.2
the,235.04,2.559
inspiration documentary on netflix it's,235.84,5.119
actually really good um and it really,237.599,4.961
isn't so i i was actually inspired by,240.959,5.601
that um and i i i so that one i felt i i,242.56,6.16
was kind of able to enjoy the the actual,246.56,3.679
mission and not just be super stressed,248.72,3.92
all the time so for people that somehow,250.239,5.36
don't know it's the all civilian first,252.64,3.76
time,255.599,3.6
all civilian out to space out to orbit,256.4,5.6
yeah it was the high i think the highest,259.199,5.761
orbit that uh in like under 30 or 40,262.0,4.72
years or something the only one that was,264.96,2.72
higher,266.72,3.919
was the one shuttle sorry a hubble uh,267.68,4.4
servicing mission,270.639,2.881
um and then before that it would have,272.08,5.52
been um apollo in 72.,273.52,5.52
it's pretty wild,277.6,3.68
so it's cool it's good you know i think,279.04,4.56
uh as you know,281.28,4.4
as a species like we want to be,283.6,3.76
you know continuing to,285.68,3.92
do better and and reach higher ground,287.36,4.559
and and like i think it would be tragic,289.6,5.039
extremely tragic if um apollo was the,291.919,4.961
high water mark for humanity you know,294.639,3.601
and that then that's as far as we ever,296.88,3.12
got,298.24,3.76
and it's um,300.0,5.44
it's concerning that here we are um,302.0,5.68
49 years after the last mission to the,305.44,4.319
moon,307.68,4.079
it's almost half a century,309.759,4.241
uh and we've not been back,311.759,3.761
um and that's,314.0,3.44
that's worrying it's like is that,315.52,3.2
does that mean,317.44,3.44
we've peaked as a civilization or what,318.72,3.84
so,320.88,3.12
like i think we got to get back to the,322.56,3.76
moon and build a base there you know a,324.0,3.84
science base i think we could learn a,326.32,3.439
lot about the nature of the universe if,327.84,3.359
we have a proper science base on the,329.759,2.241
moon,331.199,3.28
um you know like we have a science based,332.0,4.639
in antarctica and you know many other,334.479,4.401
parts of the world and,336.639,4.321
um so that that that's like i think the,338.88,4.56
next big thing we've got to have like a,340.96,5.2
serious like moon base um and then get,343.44,5.039
people to mars and,346.16,4.4
you know get get out there and,348.479,3.921
be a space bearing civilization,350.56,3.84
i'll ask you about some of those details,352.4,4.56
but since you're so busy with the hard,354.4,4.079
engineering challenges,356.96,3.359
of everything that's involved,358.479,3.201
are you still able to marvel at the,360.319,4.0
magic of it all of space travel,361.68,4.079
of every time the rocket goes up,364.319,3.6
especially when it's a crude mission,365.759,4.801
or you're just so overwhelmed with the,367.919,3.921
all the challenges that you have to,370.56,2.8
solve,371.84,4.24
and actually sort of to add to that,373.36,4.399
the reason i want to ask this question,376.08,4.8
of may 30th it's it's been some time so,377.759,4.641
you can look back and think about the,380.88,4.0
impact already it's already at the time,382.4,5.04
it was an engineering problem maybe now,384.88,4.48
it's becoming a historic moment like,387.44,3.36
it's a moment that,389.36,2.72
how many moments would be remembered,390.8,4.72
about the 21st century to me,392.08,5.28
that or something like that maybe,395.52,3.679
inspiration for one of those would be,397.36,3.839
remembered as the early steps of a new,399.199,4.881
age of uh space exploration,401.199,5.28
yeah i mean during the launches itself,404.08,4.48
so i mean i think i think maybe some,406.479,3.44
people know but a lot of people don't,408.56,2.479
know it's like i'm actually the chief,409.919,2.881
engineer of spacex so,411.039,2.72
um,412.8,1.839
the,413.759,2.801
you know i've signed off on pretty much,414.639,3.68
all the design decisions,416.56,3.44
um and,418.319,4.241
you know so if there's something that,420.0,4.96
goes wrong with that,422.56,4.16
vehicle it's it's fundamentally my fault,424.96,2.959
you know so,426.72,2.96
um,427.919,4.801
so i'm really just thinking,429.68,4.959
about all the things that like so so,432.72,3.28
when i see the rocket i see all the,434.639,2.721
things that could go wrong and the,436.0,3.44
things that could be better and the same,437.36,5.279
with the dragon spacecraft it's like,439.44,4.96
other people say oh this is a,442.639,3.521
spacecraft or a rocket and this looks,444.4,3.44
really cool i'm like,446.16,3.759
i've like a readout of like this is the,447.84,3.52
these are these are the risks these are,449.919,5.201
the pro the problems that's what i see,451.36,3.76
so it's,456.16,3.039
not what other people see when they see,457.759,3.681
the product you know so let me uh ask,459.199,4.0
you then to analyze starship in that,461.44,4.319
same way i know you have you'll talk,463.199,4.801
about in more detail about starship in,465.759,4.481
the near future perhaps yeah talk about,468.0,4.639
it now if you want um but just in that,470.24,4.72
same way like you said you see when you,472.639,3.921
see up,474.96,3.12
when you see a rocket you see a sort of,476.56,3.6
a list of risks in that same way you,478.08,3.76
said that starship is a really hard,480.16,3.039
problem,481.84,4.479
so there's many ways i can ask this but,483.199,5.361
if you magically could solve one problem,486.319,4.241
perfectly one engineering problem,488.56,5.44
perfectly which one would it be on sasha,490.56,5.919
on sorry on starship so is it maybe,494.0,4.72
related to the efficiency the,496.479,4.0
uh the engine the weight of the,498.72,3.199
different components the complexity of,500.479,3.681
various things maybe the controls of the,501.919,4.96
the crazy thing has to do to land no,504.16,5.599
it's actually the by far the the biggest,506.879,5.52
thing absorbing my time is uh,509.759,5.28
uh engine production,512.399,5.601
not not the design of the engine but,515.039,5.841
i've often said prototypes are,518.0,6.56
are easy production is hard,520.88,3.68
so,525.279,3.281
we have the most advanced rocket engine,526.0,6.08
that's ever been designed um,528.56,5.44
the because i say currently the the best,532.08,4.56
rocket engine ever is probably the rd,534.0,6.16
180 or rd-170 the um,536.64,5.84
that that's the russian engine basically,540.16,3.44
um,542.48,2.24
and um,543.6,2.799
and still i think an engine should only,544.72,3.36
count if it's gotten something to orbit,546.399,2.481
um,548.08,2.96
so our engine has not gotten anything to,548.88,3.28
orbit yet,551.04,3.44
um but it is it's the first engine,552.16,4.4
that's actually,554.48,4.799
better than than the the,556.56,4.399
