Text,Start Time,Duration
the following is a conversation with jay,0.0,1.76
baracaria professor of medicine health,1.76,2.88
policy and economics at stanford,4.64,2.0
university,6.64,1.52
please allow me to say a few words about,8.16,2.24
lockdowns and the blinding destructive,10.4,2.64
effects of arrogance on leadership,13.04,2.479
especially in the space of policy and,15.519,2.561
politics,18.08,1.6
jay barakaria is the co-author of the,19.68,2.24
now famous great barrington declaration,21.92,2.4
a one-page document that in october 2020,24.32,3.44
made a case against the effectiveness of,27.76,2.4
lockdowns,30.16,1.76
most of this podcast conversation is,31.92,1.68
about the ideas related to this document,33.6,2.639
and so let me say a few things here,36.239,2.64
about what troubles me,38.879,2.561
those who advocate for lockdowns as a,41.44,2.08
policy,43.52,0.879
often ignore the quiet suffering of,44.399,1.921
millions that it results in which,46.32,2.239
includes economic pain loss of jobs that,48.559,2.721
give meaning and pride in the face of,51.28,1.759
uncertainty the increase in suicide and,53.039,2.721
suicidal ideation and in general the,55.76,2.88
fear and anger that arises from the,58.64,2.48
powerlessness forced onto the populace,61.12,2.88
but the self-proclaimed elites and,64.0,2.159
experts,66.159,1.841
many folks whose job is unaffected by,68.0,2.479
the lockdowns talk down to the masses,70.479,2.241
about which path forward is right and,72.72,2.16
which is wrong,74.88,1.52
what troubles me most,76.4,1.759
is this very lack of empathy among the,78.15899999999999,2.081
policymakers for the common man,80.24,2.559
and in general for people unlike,82.799,1.841
themselves the landscape of suffering is,84.64,2.88
vast and must be fully considered in,87.52,2.8
calculating the response to the pandemic,90.32,2.72
with humility and with rigorous,93.03999999999999,3.2
open-minded scientific debate,96.24000000000001,2.96
jay and i talk about the email from,99.2,1.919
francis collins to anthony fauci that,101.119,2.401
called jay and his two co-authors,103.52000000000001,2.879
fringe epidemiologists and also called,106.399,3.04
for a devastating published takedown of,109.439,2.081
their ideas,111.52000000000001,1.599
these words from francis,113.119,2.081
broke my heart,115.2,1.76
i understand them i can even steel man,116.96000000000001,2.56
them,119.52000000000001,1.04
but nevertheless on balance they show to,120.56,3.12
me a failure of leadership,123.68,2.88
leadership in a pandemic is hard,126.56,2.318
which is why great leaders are,128.878,1.682
remembered by history,130.56,2.0
they are rare they stand out,132.56,3.28
and they give me hope,135.84,2.56
also this whole mess,138.4,2.4
inspires me on my small individual level,140.8,2.0
to do the right thing,142.8,1.76
in the face of conformity,144.56,2.08
despite the long odds,146.64,2.72
i talked to francis collins i talked to,149.36,2.4
albert burleigh pfizer ceo,151.76,2.24
i also talked and will continue to talk,154.0,2.4
with people like jay,156.4,1.44
and other dissenting voices that,157.84,2.0
challenge the mainstream narratives and,159.84,2.24
those in the seats of power,162.07999999999998,2.56
i hope to highlight both the strengths,164.64,2.0
and weaknesses in their ideas with,166.64,2.56
respect and empathy but also with guts,169.2,2.96
and skill,172.16,1.68
the skill part i hope to improve on over,173.84,2.56
time,176.4,1.28
and i do believe that conversation,177.68,2.96
and an open mind is the way out of this,180.64,3.599
and finally as i've said in the past i,184.239,2.72
value love,186.959,1.36
and integrity far far above money fame,188.319,3.28
and power,191.599,1.201
those latter three are all ephemeral,192.8,3.04
they slip through the fingers of anyone,195.84,1.84
who tries to hold on,197.68,2.08
and leave behind an empty shell of a,199.76,2.559
human being,202.319,1.84
i prefer to die a man who lived by,204.159,2.321
principles that nobody could shake and a,206.48,2.399
man who added a bit of love to the world,208.879,3.761
this is the lex friedman podcast to,212.64,2.239
support it please check out our sponsors,214.879,2.321
in the description and now here's my,217.2,2.0
conversation with jay batakaria,219.2,4.56
to our best understanding today how,223.76,2.72
deadly is coveted,226.48,1.839
do we have a good measure,228.31900000000002,2.0
for for this very question,230.31900000000002,2.241
so the the best evidence for covet the,232.56,2.56
deadline to covet comes from a whole,235.12,2.24
series of zero prevalent studies sierra,237.36,2.799
preference studies are these studies of,240.159,2.16
antibody prevalence in the population at,242.319,1.84
large,244.159,1.44
i was,245.599,0.961
part of the you know the very first set,246.56,1.44
of sierra problem studies one in santa,248.0,1.36
clara county one in l.a county and one,249.36,1.68
in the with major league baseball around,251.04,1.68
the u.s uh if i may just pause you for a,252.72,2.719
second,255.439,1.601
if people don't know what uh serology is,257.04,2.08
in cerro prevalence it does sound like,259.12,2.238
you say zero prevalence it's not it's,261.358,2.162
cerro and serology's antibodies so it's,263.52,2.959
it's a a survey that counts the number,266.479,2.0
of antibodies specifically,268.479,2.561
people that have antibodies,271.04,2.4
specific to kovaid which perhaps shows,273.44,2.8
an indication that they likely have had,276.24,2.399
cobit and therefore this is a way to,278.639,2.161
study how many people in the population,280.8,2.24
have been exposed to have had,283.04,2.4
exactly yeah exactly so the idea is that,285.44,2.72
uh,288.15999999999997,2.16
we don't know,290.32,1.439
exactly the number of people with cove,291.759,1.681
just by counting the people that are,293.44,1.68
there to present themselves with,295.12,1.359
symptoms of covid um covet has it turns,296.479,2.241
out a very wide range of symptoms,298.72,1.919
possible ranging from no symptoms at all,300.639,3.441
to this deadly viral pneumonia that's,304.08,1.92
killed so many people and the problem is,306.0,2.24
like in if you just count the number of,308.24,1.679
cases the people who have very few,309.919,1.201
symptoms so often don't show up for,311.12,2.72
testing we just don't they're outside of,313.84,1.68
the can of of public health,315.52,2.48
and so it's really hard to know that the,318.0,2.8
answer to your question without,320.8,1.44
understanding how many people are,322.24,1.28
infected because you you can probably,323.52,1.76
tell the number of deaths that's even,325.28,1.199
though there's some controversy over,326.479,1.201
that but uh that so that the numerators,327.68,2.72
is possible but the denominator is much,330.4,1.84
harder how much controversy is there,332.24,2.08
about the death we're gonna go on,334.32,1.52
million tangents is that okay we're,335.84000000000003,2.72
gonna i have a million questions so one,338.56,2.88
i love data so much,341.44,2.0
but i've like almost tuned out paying,343.44,2.24
attention to cover data because i feel,345.68,2.079
like i'm walking on shaky ground i don't,347.759,2.481
know who to trust,350.24,1.36
um maybe you can comment on different,351.6,1.84
sources of data different kinds of data,353.44,2.56
the death one that seems like a really,356.0,1.919
important one,357.919,1.201
can we trust the reported deaths,359.12,2.88
associated with covid or is it just a,362.0,1.919
giant messy thing that mixed up and then,363.919,2.321
there's this kind of stories about,366.24,2.16
hospitals being incentivized,368.4,3.04
uh to report a death as covert death so,371.44,3.039
uh uh there's some truth in some of that,374.479,1.84
let me just so,376.319,1.44
let me just talk about the incentive so,377.759,1.681
in the united states,379.44,2.0
we passed this cares act that was aimed,381.44,2.879
at,384.319,0.72
making sure hospital assistance didn't,385.039,1.44
go bankrupt in the early days the,386.479,1.681
pandemic,388.16,1.2
the couple things they did one was they,389.36,2.0
provided incentives to treat covet,391.36,2.24
patients,393.6,0.96
tens of thousands of dollars extra per,394.56,2.32
per covered patient,396.88,1.759
um and the other thing they did is they,398.639,1.601
they gave a 20 bump to medicare payments,400.24,2.16
for elderly patients who are treated,402.4,1.44
with covet the idea is that there's more,403.84000000000003,1.6
expensive to treat them i guess the,405.44,1.28
early days um so that did provide an,406.72,2.319
incentive to sort of have have a lot of,409.039,2.0
code patients in the hospital because,411.039,2.0
your financial,413.039,1.6
success of the hospital or at least not,414.639,1.761
by the lack of financial ruin depended,416.4,1.84
on having many covered patients the,418.24,2.32
other thing on the death certificates is,420.56,1.68
that reporting of deaths is a separate,422.24,1.44
issue i don't know that there's a,423.68,1.04
financial incentive there but there is,424.72,2.08
this sort of like complicated you know,426.8,2.08
when you fill out a death certificate,428.88,2.24
for a patient with a lot of conditions,431.12,2.4
uh like let's say a patient has diabetes,433.52,1.76
a patient that well that diabetes could,435.28,2.0
lead to,437.28,1.84
heart failure you know you have a heart,439.12,1.359
attack heart failure your lungs fill up,440.479,2.641
then you get covered and,443.12,2.4
what and you die so what do you what do,445.52,1.44
you write on the death certificate was,446.96,1.2
it cause it covered the killed you was,448.16,1.439
it the lungs filling up was it the the,449.599,2.32
heart heart failure was it the diabetes,451.919,2.0
it's really difficult to like,453.919,1.68
disentangle,455.599,1.361
um and i think a lot of a lot of times,456.96,2.56
what's happened is they people have like,459.52,2.0
erred on the side of signing is covet,461.52,3.119
now what's the evidence of this there's,464.639,1.521
been a couple of,466.15999999999997,1.439
of audits of death certificates in,467.599,2.0
places like santa clara county where i,469.599,1.6
live in alameda county,471.199,1.921
uh california where they they carefully,473.12,2.4
went through the death certificate said,475.52,1.04
okay is this reasonable to say this was,476.56,1.6
actually covered or is it was covered,478.15999999999997,1.599
incidental and they found that about 25,479.759,2.641
20 25 of the deaths were,482.4,2.239
more likely incidental than directly due,484.639,2.321
to covet,486.96,1.28
i i personally don't get too excited,488.24,1.679
about this i mean it's a philosophical,489.919,1.68
question right like ultimately,491.599,2.32
what kills you,493.919,1.68
it's which is an odd thing to say if you,495.599,1.841
if you're if you're not you're not in,497.44,1.439
medicine but like really it's it's a,498.879,2.481
it's almost always multifactorial it's,501.36,1.92
always always just the bus hits you the,503.28,1.84
bus hits you that you get a brain bleed,505.12,1.919
was the brain bleed that killed you,507.039,1.44
would it burst anyway i mean you know,508.479,2.0
the bus hits you killed you right the,510.479,1.92
way you die is a philosophical question,512.399,1.601
but it's also a sociological and,514.0,1.679
psychological question because it seems,515.679,1.681
like,517.36,1.199
every single person who's passed away,518.559,2.801
over the past couple of years kind of,521.36,1.919
the first question that comes to mind is,523.279,1.68
just was it not not just because you're,524.9590000000001,2.401
trying to be political but just in your,527.36,1.52
mind no i think there's a psychological,528.88,2.16
reason for this right so um,531.04,2.16
you know we have we spent uh the better,533.2,1.92
part of a at least a half century in the,535.12,1.92
united states not worried too much,537.04,2.32
about infectious diseases and we the,539.36,2.32
notion was we'd essentially conquered,541.68,1.52
them it was something that happens in,543.2,1.6
faraway places to other people,544.8,2.88
and that's true for much of the,547.68,1.12
developed world life expectancies were,548.8,1.92
going up,550.72,0.96
for you know decades and decades,551.68,2.159
and for the first time in living memory,553.839,2.161
we have a disease that can kill us,556.0,2.16
i mean i think we're effectively evolved,558.16,2.08
to fear that like the the panic centers,560.24,2.48
of our brain the lizard part of our,562.72,1.36
brain takes over,564.08,1.759
and our central focus has been avoiding,565.8389999999999,2.321
this one risk,568.16,1.6
um and so it's not surprising that but,569.76,2.24
people when they're filling out death,572.0,1.279
certificates or thinking about what what,573.279,2.081
led to the death,575.36,1.12
this most salient thing that's in the,576.48,2.16
front of everyone's brain would jump to,578.64,1.84
the top,580.48,1.76
and we can't ignore,582.24,2.0
this very deep psychological thing when,584.24,2.719
we consider,586.9590000000001,2.161
what people say on the internet what,589.12,1.92
people say to each other what people,591.04,1.6
write in scientific papers what,592.64,1.92
everything it feels like,594.56,2.8
when covid,597.36,1.76
has been,599.12,1.44
um,600.56,1.76
has been brought onto this world,602.32,2.72
everything changed in the way people,605.04,2.799
feel about each other just the way they,607.839,2.161
communicate with each other i think,610.0,2.72
the the level of emotion involved,612.72,2.96
i think it in many people it brought out,615.68,2.399
the worst in them,618.079,2.401
for sometimes short periods of time and,620.48,1.68
sometimes it was always therapeutic like,622.16,2.0
you were waiting to get out like the,624.16,1.6
darkest parts of you,625.76,1.84
just to say if you're angry at something,627.6,1.919
in this world i'm going to say it now,629.519,2.081
and um i think that's probably talking,631.6,2.32
to some deep primal thing that,633.92,2.64
um,636.56,0.959
fear we have for um,637.519,2.56
formalities of all different kinds and,640.079,1.76
then when that fear is aroused and all,641.8389999999999,2.401
the deepest emotions it's like a,644.24,2.64
freudian,646.88,1.199
uh psychotherapy session but across the,648.079,2.481
world something that uh psychologists,650.56,2.32
are gonna have a field day with for,652.88,1.6
generation trying to understand um i,654.48,1.84
mean i think that,656.32,1.44
i mean what you say is right but piled,657.76,1.759
on top of that is also this sort of,659.519,4.32
uh this impetus to empathy to empathize,663.839,2.801
compassion toward others,666.64,1.92
essentially militarized,668.56,2.399
right so i'm protecting you by by some,670.959,4.32
actions,675.279,1.12
and,676.399,1.041
uh those actions if i if i don't do them,677.44,2.72
if you don't do them well that months,680.16,1.28
must mean you don't just you you hate me,681.44,2.48
um it's created this like social tension,683.92,2.32
that i've never seen before and we and,686.24,1.68
we start have started we started we,687.92,2.159
looked at each other as if we were just,690.079,1.76
simply,691.8389999999999,1.281
sources of of germs,693.12,2.48
rather than people to get to know,695.6,2.16
people to enjoy people to get you know,697.76,1.68
to learn from um it it colored,699.44,3.68
basically almost every human interaction,703.12,1.52
for every every human on the planet,704.64,2.48
yeah the basic common humanity it's like,707.12,2.719
you can wear a mask you can stand far,709.8389999999999,1.841
away,711.68,0.88
but the,712.56,0.959
love you have for each other when you,713.519,1.281
look into each other's eyes that was,714.8,1.92
dissipating and,716.72,1.679
by region too i've experienced having,718.399,2.641
traveled quite a bit throughout this,721.04,1.919
time,722.959,1.201
it um it was really sad even people that,724.16,2.64
are really close together just the way,726.8,1.92
they stood the way they looked at each,728.72,1.919
other,730.639,0.801
and i it made me feel for a moment,731.44,3.12
um,734.56,0.8
that the fabric that connects all of us,735.36,1.919
is more fragile than i thought,737.279,2.481
i mean if you walk down the street or if,739.76,1.519
you ever if you did this during covet,741.279,1.841
i'm sure you had this experience where,743.12,1.36
